タイトル,一問一答(06. 東アジアとの交易)
記述,倭寇と呼ばれて恐れられた海賊集団が活動していた場所はどこか。,朝鮮半島
記述,1368年に明を建国した人物は誰か。,朱元璋
記述,1401年に明に使者を派遣して国交を開いた人物は誰か。,足利義満
記述,日明貿易を別名何貿易というか。,勘合貿易
記述,日明貿易を中断した4代将軍は誰か。,足利義持
記述,日明貿易を再開した6代将軍は誰か。,足利義教
記述,日朝貿易で特に大量に輸入された織物は何か。,木綿
記述,1392年に朝鮮を建国した武将は誰か。,李成桂
記述,日朝貿易で通交についての制度を定めた対馬の氏族は何か。,宗氏
記述,1523年に寧波で発生した衝突は何と呼ばれるか。,寧波の乱
完答,日明貿易の形式を答えよ。,朝貢貿易,勘合貿易
完答,日明貿易の再開を行った人物を答えよ。,足利義教,足利義持
選択,倭寇が襲撃した場所はどこか,朝鮮半島,日本,インド,ペルシャ,エジプト
選択,明を建国したのは誰か,朱元璋,足利義満,李成桂,足利義持,宗氏
選択,足利義満が明に使者を派遣したのは何年か,1401年,1368年,1392年,1523年,1510年
選択,日明貿易の別名は何か,勘合貿易,朝貢貿易,日朝貿易,寧波貿易,木綿貿易
選択,日朝貿易で大量に輸入された織物は何か,木綿,絹,麻,綿,羊毛
選択,日朝貿易で通交の制度を定めたのは誰か,宗氏,李成桂,足利義満,朱元璋,足利義教
選択,寧波の乱が発生したのは何年か,1523年,1401年,1368年,1392年,1510年
選択,朝鮮を建国したのは誰か,李成桂,朱元璋,足利義満,足利義教,宗氏
選択,応永の外寇が発生したのはどこの国か,日本,朝鮮,中国,インド,ペルシャ
選択,日明貿易を一時中断したのは誰か,足利義持,足利義教,足利義満,李成桂,朱元璋
