タイトル,一問一答(03. 南北朝の動乱)
記述,吉野にこもって正統の皇位を主張した天皇は誰か,後醍醐天皇
記述,1336年に京都を制圧した武将は誰か,足利尊氏
記述,1338年に征夷大将軍に命じられた人物は誰か,足利尊氏
記述,足利尊氏の弟で、政務を分担した人物は誰か,足利直義
記述,1350年に始まった武力対決を何というか,観応の乱
記述,鎌倉時代後期から始まった家制度の変化で、宗家と分家のつながりが弱まることを何というか,惣領制の解体
記述,鎌倉時代後期からの変化で重視されるようになった結合を何というか,地縁的結合
記述,所領の相続方法として一般的になったものを何というか,単独相続
選択,南北朝の動乱が始まったのは何年か,1336,1333,1338,1350,1360
選択,建武式目を定めたのは誰か,足利尊氏,後醍醐天皇,北畠親房,楠木正成,新田義貞
選択,南朝の拠点はどこにあったか,吉野,京都,鎌倉,九州,東北
選択,北朝の拠点はどこにあったか,京都,吉野,鎌倉,九州,東北
選択,南朝側の中心人物の一人は誰か,北畠親房,後醍醐天皇,足利尊氏,新田義貞,楠木正成
選択,観応の乱が始まったのは何年か,1350,1336,1338,1360,1372
選択,足利直義が敗死した後も続いた抗争の一つの勢力はどれか,旧直義派,南朝勢力,後醍醐天皇,北畠親房,吉野
選択,単独相続が一般的になったのはいつ頃か,鎌倉時代後期,鎌倉時代初期,南北朝時代,平安時代,室町時代
選択,地縁的結合が重視されるようになったのは何時代か,鎌倉時代後期,鎌倉時代初期,平安時代,室町時代,南北朝時代
選択,惣領制の解体が始まったのは何時代か,鎌倉時代後期,鎌倉時代初期,平安時代,室町時代,南北朝時代
選択,観応の乱の原因の一つは何か,所領拡大,軍事力強化,貴族の反乱,経済的不安,宗教対立
選択,南北朝の動乱が終結したのは何年か,1392,1336,1350,1338,1372
完答,南朝の初期に戦死した人物を2人挙げよ,楠木正成,新田義貞
