タイトル,一問一答(09. 幕府の動揺と土一揆)
記述,永享の乱で討ち滅ぼされた鎌倉公方は誰か,足利持氏
記述,嘉吉の変で足利義教を殺害した有力守護は誰か,赤松満祐
記述,1428年に京都で起こった徳政一揆の名前は何か,正長の徳政一揆
記述,1441年に数万人が京都を占拠した徳政一揆の名前は何か,嘉吉の徳政一揆
記述,将軍権力の強化を目指した6代将軍は誰か,足利義教
記述,土一揆が発生したのは主にどの地方か,近畿地方
記述,1441年に発生した徳政一揆に対して幕府が発布した令は何か,徳政令
記述,正長の徳政一揆が起こった年はいつか,1428
記述,嘉吉の徳政一揆が起こった年はいつか,1441年
別解,1441
記述,永享の乱が起こった年はいつか,1438
完答,土一揆の参加者は誰か,農民,都市民,困窮した武士
選択,足利義持の時代に勢力均衡が保たれていたのは何か,将軍と有力守護,将軍と幕府,幕府と公家,公家と武士,守護と公家
選択,永享の乱で討伐されたのは誰か,足利持氏,足利義教,赤松満祐,足利義持,足利義満
選択,嘉吉の変で足利義教を殺害したのは誰か,赤松満祐,足利持氏,足利義持,足利義満,足利義教
選択,正長の徳政一揆が起こったのはどこか,京都,鎌倉,奈良,大阪,名古屋
選択,嘉吉の徳政一揆で土一揆が要求したのは何か,徳政,戦,領地,年貢,開墾
選択,近畿地方で頻繁に発生したのは何か,土一揆,公家,戦,開墾,年貢
選択,6代将軍で専制的な政治を行ったのは誰か,足利義教,足利持氏,足利義持,足利義満,赤松満祐
選択,1428年に京都で起こった一揆の名前は何か,正長の徳政一揆,嘉吉の徳政一揆,永享の乱,応仁の乱,承久の乱
選択,1441年に数万人が京都を占拠した一揆の名前は何か,嘉吉の徳政一揆,正長の徳政一揆,永享の乱,応仁の乱,承久の乱
選択,1438年に起こった戦乱は何か,永享の乱,嘉吉の徳政一揆,正長の徳政一揆,応仁の乱,承久の乱
